"Libellé";"idBank";"Dernière mise à jour";"Période";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2";"2019-T3";"2019-T4";"2020-T1";"2020-T2";"2020-T3";"2020-T4";"2021-T1";"2021-T2";"2021-T3";"2021-T4";"2022-T1";"2022-T2";"2022-T3"
"Evolution des nuitées en glissement trimestriel (%) dans les Autres Hébergements Collectifs Touristiques - France métropolitaine - Série arrêtée";"010569952";"30/07/2021 11:35";"";"";"";"";"";"3.8";"0.7";"-0.8";"6.7";"-0.6";"-0.4";"0.2";"1.4";"-4.5";"0.2";"-4.8";"-1.2";"0.0";"0.3";"4.1";"-3.5";"-0.3";"-7.0";"-3.6";"0.3";"-1.4";"10.8";"6.6";"16.3";"11.8";"3.7";"-0.9";"3.6";"-4.9";"2.6";"2.6";"0.15";"";"";"-20.93";"";"";"";"";"";"";"";""
"Codes";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"";"";"";"";"";""
"Evolution des nuitées en glissement trimestriel (%) dans l’hôtellerie de plein air - France métropolitaine - Série arrêtée";"010569953";"04/10/2021 16:20";"";"";"8.2";"1.5";"";"";"-0.3";"-0.3";"";"";"4.7";"1.9";"";"";"5.3";"-1.0";"";"";"7.7";"2.3";"";"";"-7.3";"1.0";"";"";"17.2";"2.6";"";"";"0.8";"0.8";"";"";"7.6";"1.5";"";"";"";"-17.27";"";"";"";"";"";"";"";""
"Codes";"";"";"";"O";"E";"A";"O";"O";"E";"A";"O";"O";"E";"A";"O";"O";"E";"A";"O";"O";"E";"A";"O";"O";"E";"A";"O";"O";"A";"A";"O";"O";"A";"A";"O";"O";"A";"A";"O";"O";"O";"P";"O";"O";"O";"";"";"";"";""
"Nuitées dans l'hôtellerie en provenance - Etats-Unis - France métropolitaine";"010609684";"12/03/2024 16:12";"";"811";"1898";"1976";"1082";"816";"2099";"2164";"1169";"840";"2182";"2422";"1284";"927";"2326";"2529";"1326";"955";"2471";"2715";"1388";"993";"2174";"2350";"1426";"1174";"2562";"2719";"1670";"1322";"2873";"3257";"1925";"1422";"3069";"3212";"1912";"";"";"";"";"";"";"";"";"839";"2640";"3158"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Amérique - France métropolitaine";"010609682";"12/03/2024 16:12";"";"1304";"2897";"3216";"1779";"1370";"3185";"3426";"1900";"1399";"3270";"3714";"2001";"1462";"3336";"3727";"2026";"1511";"3523";"3960";"2061";"1477";"3090";"3447";"2123";"1766";"3695";"4021";"2489";"2035";"4013";"4627";"2780";"2089";"4230";"4601";"2715";"";"";"";"";"";"";"";"";"1259";"3609";"4485"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Royaume-Uni - France métropolitaine";"010609679";"12/03/2024 16:12";"";"1928";"2935";"3686";"1881";"2086";"2939";"3790";"2012";"2127";"2909";"3941";"2016";"2049";"3032";"4071";"2169";"2302";"3078";"4012";"1957";"2258";"2964";"3648";"1891";"2124";"2758";"3642";"2051";"2392";"2882";"3744";"2014";"2165";"2659";"3267";"1771";"";"";"748";"";"";"";"";"";"1211";"2430";"3056"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Suisse - France métropolitaine";"010609680";"12/03/2024 16:12";"";"339";"814";"940";"564";"369";"908";"997";"596";"427";"859";"1021";"608";"387";"912";"1049";"636";"405";"967";"1063";"594";"449";"895";"1052";"651";"448";"1004";"1107";"672";"520";"958";"1166";"703";"496";"1069";"1147";"690";"";"";"768";"";"";"";"";"";"414";"1127";"1338"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Russie - France métropolitaine";"010609681";"12/03/2024 16:12";"";"417";"479";"624";"346";"485";"558";"738";"409";"513";"581";"731";"378";"487";"514";"635";"316";"303";"314";"461";"216";"236";"252";"340";"209";"300";"348";"457";"275";"333";"389";"468";"283";"331";"408";"499";"323";"";"";"";"";"";"";"";"";"57";"49";"108"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Afrique - France métropolitaine";"010609689";"12/03/2024 16:12";"";"219";"275";"314";"283";"262";"286";"329";"322";"274";"336";"370";"359";"310";"365";"398";"389";"331";"376";"430";"395";"335";"362";"448";"408";"378";"366";"503";"428";"403";"390";"494";"442";"392";"390";"491";"455";"";"";"";"";"";"";"";"";"242";"350";"432"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Italie - France métropolitaine";"010609677";"12/03/2024 16:12";"";"993";"1517";"2375";"1024";"923";"1409";"2116";"1016";"867";"1352";"2174";"1002";"926";"1383";"2095";"1049";"883";"1327";"2017";"815";"744";"1023";"1527";"797";"747";"1164";"1724";"851";"841";"1262";"1960";"1037";"900";"1339";"1872";"944";"";"";"491";"";"";"";"";"";"573";"1214";"2008"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Amérique centrale et du Sud - France métropolitaine";"010609683";"12/03/2024 16:12";"";"385";"689";"815";"521";"435";"749";"833";"552";"446";"776";"841";"544";"422";"710";"789";"529";"441";"740";"824";"488";"376";"644";"735";"527";"473";"829";"937";"634";"583";"827";"922";"646";"540";"837";"963";"599";"";"";"";"";"";"";"";"";"361";"704";"866"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Proche et Moyen-Orient - France métropolitaine";"010609686";"12/03/2024 16:12";"";"239";"311";"575";"292";"255";"379";"596";"301";"272";"399";"637";"350";"313";"462";"798";"395";"365";"479";"1029";"380";"373";"447";"974";"437";"410";"480";"1014";"459";"456";"533";"1063";"440";"367";"454";"863";"475";"";"";"";"";"";"";"";"";"330";"478";"960"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Belgique - France métropolitaine";"010609675";"12/03/2024 16:12";"";"877";"1351";"2225";"897";"897";"1355";"2207";"898";"902";"1309";"2230";"931";"831";"1342";"2207";"992";"796";"1432";"2182";"900";"935";"1284";"2250";"970";"880";"1382";"2266";"993";"921";"1407";"2145";"979";"928";"1399";"2156";"934";"";"";"1520";"";"";"";"";"";"858";"1360";"2278"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Evolution des nuitées en glissement trimestriel (%) dans l’hôtellerie - France métropolitaine";"010569951";"12/03/2024 16:12";"";"2.2";"3.1";"3.0";"4.6";"2.3";"-1.2";"-0.9";"0.6";"-0.6";"-0.5";"-0.1";"-0.9";"-2.6";"0.0";"-0.1";"1.5";"1.7";"0.7";"1.5";"-3.7";"1.9";"-3.4";"-3.8";"5.0";"2.8";"6.0";"5.3";"5.1";"4.7";"1.3";"2.0";"1.5";"-0.9";"2.4";"0.4";"1.0";"-17.5";"-86.23";"-34.13";"-63.8";"-56.56";"";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Nuitées dans l'hôtellerie en provenance - Espagne - France métropolitaine";"010609676";"12/03/2024 16:12";"";"727";"1390";"2069";"908";"650";"1255";"1769";"801";"671";"1119";"1795";"759";"605";"1317";"1923";"827";"702";"1222";"1938";"815";"801";"1104";"1670";"870";"710";"1348";"1841";"1073";"910";"1320";"2089";"1164";"816";"1525";"1996";"1029";"";"";"432";"";"";"";"";"";"589";"1322";"1910"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Allemagne - France métropolitaine";"010609674";"12/03/2024 16:12";"";"764";"1995";"2296";"1071";"781";"1996";"2415";"1078";"862";"1889";"2420";"1125";"755";"2009";"2454";"1176";"784";"2001";"2466";"1066";"848";"1729";"2236";"1112";"845";"2042";"2443";"1262";"1031";"2177";"2667";"1328";"954";"2332";"2550";"1306";"";"";"1170";"";"";"";"";"";"672";"2231";"2818"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Japon - France métropolitaine";"010609688";"12/03/2024 16:12";"";"518";"529";"660";"577";"567";"566";"692";"630";"541";"504";"649";"506";"489";"492";"617";"490";"410";"389";"528";"301";"202";"262";"306";"245";"285";"304";"363";"298";"352";"350";"427";"390";"389";"401";"475";"375";"";"";"";"";"";"";"";"";"18";"55";"96"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Europe hors France - France métropolitaine";"010609673";"12/03/2024 16:12";"";"7645";"13360";"18050";"8523";"7933";"13301";"17844";"8745";"8070";"12967";"18296";"8738";"7713";"13525";"18315";"9218";"7924";"13274";"18162";"8339";"8095";"12343";"16468";"8516";"8024";"13222";"17797";"9490";"9158";"13763";"18763";"9952";"8788";"14201";"17842";"9335";"";"";"6894";"";"";"";"";"";"6342";"13547";"18831"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Asie et Océanie - France métropolitaine";"010609685";"12/03/2024 16:12";"";"1375";"2098";"2781";"1802";"1516";"2322";"2924";"1957";"1563";"2472";"3199";"1967";"1604";"2508";"3366";"2018";"1715";"2809";"4062";"1986";"1467";"2455";"3293";"1959";"1867";"2852";"3589";"2249";"2030";"3084";"3887";"2429";"2001";"2963";"3573";"2359";"";"";"";"";"";"";"";"";"626";"1356";"2284"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Pays-Bas - France métropolitaine";"010609678";"12/03/2024 16:12";"";"479";"881";"1349";"533";"488";"825";"1298";"544";"435";"786";"1207";"511";"417";"759";"1234";"575";"466";"789";"1254";"508";"482";"747";"1234";"510";"473";"830";"1426";"594";"509";"860";"1392";"572";"496";"871";"1341";"565";"";"";"845";"";"";"";"";"";"575";"1085";"1889"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Chine - France métropolitaine";"010609687";"12/03/2024 16:12";"";"277";"363";"547";"357";"225";"389";"579";"380";"281";"518";"749";"463";"365";"496";"826";"455";"424";"781";"1217";"582";"401";"636";"865";"524";"558";"783";"991";"665";"583";"848";"1044";"693";"569";"811";"952";"631";"";"";"";"";"";"";"";"";"42";"117";"169"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
