"idBank";"Dernière mise à jour";"Périodicité";"Série arrêtée";"Types d'indicateurs pour le tourisme";"Indicateur";"Mois de retour du voyage";"Nature";"Mode de transport";"Correction";"Destination du voyage";"Type d’hébergement";"Unité";"Puissance";"Zone géographique";"Motif du voyage"
"010758192";"20/05/2022 03:55";"Annuelle";"oui";;"Taux de départ en voyages";"Sans objet";"Taux";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Voyage personnel"
"010758193";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758194";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de la France métropolitaine ou des DOM";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758195";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de l’Europe (Union Européenne + AELE)";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758196";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de l’étranger hors Europe";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758197";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758198";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage professionnel"
"010758199";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hôtel";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758200";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Location";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758201";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Camping";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758202";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Résidence secondaire";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758203";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Famille, amis";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758204";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Autre hébergement marchand";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758205";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Autre hébergement non-marchand";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758206";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement marchand";"Voyages";"6";"France métropolitaine";"Voyage professionnel"
"010758207";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement non marchand";"Voyages";"6";"France métropolitaine";"Voyage professionnel"
"010758208";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Mode de transport principal : route (voiture + camping car)";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758209";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Autres modes de transport principal";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758210";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Mode de transport principal : route (voiture + camping car)";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage professionnel"
"010758211";"06/06/2023 04:47";"Annuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Autres modes de transport principal";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage professionnel"
"010758236";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758237";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de la France métropolitaine ou des DOM";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758238";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de l’Europe (Union Européenne + AELE)";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758239";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de l’étranger hors Europe";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758240";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758241";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Voyage professionnel"
"010758242";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hôtel";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758243";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Location";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758244";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Camping";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758245";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Résidence secondaire";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758246";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Famille, amis";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758247";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Autre hébergement marchand";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758248";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Autre hébergement non-marchand";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758249";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement marchand";"Nuitées";"6";"France métropolitaine";"Voyage professionnel"
"010758250";"06/06/2023 04:47";"Annuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement non marchand";"Nuitées";"6";"France métropolitaine";"Voyage professionnel"
"010758172";"06/06/2023 04:47";"Mensuelle";"non";;"Taux de départ en voyages";"Sans objet";"Taux";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Tous motifs confondus"
"010758173";"06/06/2023 04:47";"Mensuelle";"non";;"Taux de départ en voyages";"Sans objet";"Taux";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Voyage personnel"
"010758175";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758176";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de la France métropolitaine ou des DOM";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758177";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de l’étranger ou des COM";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758184";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758185";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de la France métropolitaine ou des DOM";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758186";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Voyages à destination de l’étranger ou des COM";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758178";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage personnel"
"010758179";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Voyage professionnel"
"010758187";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Voyage personnel"
"010758188";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Nuitées";"6";"France métropolitaine";"Voyage professionnel"
"010758180";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement marchand";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758181";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement non marchand";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758189";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement marchand";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758190";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement non marchand";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758182";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Mode de transport principal : route (voiture + camping car)";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758183";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Autres modes de transport principal";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758191";"06/06/2023 04:47";"Mensuelle";"non";;"Allers-retours";"Sans objet";"Variations mensuelles";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Tous motifs confondus"
"010761990";"06/06/2023 04:47";"Annuelle";"non";;"Taux de départ en voyages";"Sans objet";"Taux";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Voyage personnel"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
